 , , OBJECT 1, , , , , , , , , , OBJECT 2
t, , x1, y1, vx1, vy1, ax1, ay1, theta, omega, alpha, , x2, y2, vx2, vy2, ax2, ay2, theta, omega, alpha
0.72 , ,1.31684, 0.0497525, -0.700858, -0.40137, 0, 0, 1.03664, 4.37334, 0 , , 1.98227, 0.281113, 0.943995, 0.0953432, 0, 0, 1.22107, 5.15142, 0
0.74 , ,1.30283, 0.0417251, -0.700858, -0.40137, 0, 0, 1.12411, 4.37334, 0 , , 2.00115, 0.28302, 0.943995, 0.0953432, 0, 0, 1.3241, 5.15142, 0
0.76 , ,1.28881, 0.0336977, -0.700858, -0.40137, 0, 0, 1.21157, 4.37334, 0 , , 2.02003, 0.284927, 0.943995, 0.0953432, 0, 0, 1.42713, 5.15142, 0
0.78 , ,1.27479, 0.0256703, -0.700858, -0.40137, 0, 0, 1.29904, 4.37334, 0 , , 2.03891, 0.286834, 0.943995, 0.0953432, 0, 0, 1.53016, 5.15142, 0
0.8 , ,1.26078, 0.0176429, -0.700858, -0.40137, 0, 0, 1.38651, 4.37334, 0 , , 2.05779, 0.288741, 0.943995, 0.0953432, 0, 0, 1.63319, 5.15142, 0
0.82 , ,1.24676, 0.00961546, -0.700858, -0.40137, 0, 0, 1.47398, 4.37334, 0 , , 2.07667, 0.290648, 0.943995, 0.0953432, 0, 0, 1.73622, 5.15142, 0
0.84 , ,1.23274, 0.00158805, -0.700858, -0.40137, 0, 0, 1.56144, 4.37334, 0 , , 2.09555, 0.292554, 0.943995, 0.0953432, 0, 0, 1.83924, 5.15142, 0
0.86 , ,1.21872, -0.00643936, -0.700858, -0.40137, 0, 0, 1.64891, 4.37334, 0 , , 2.11443, 0.294461, 0.943995, 0.0953432, 0, 0, 1.94227, 5.15142, 0
0.88 , ,1.20471, -0.0144668, -0.700858, -0.40137, 0, 0, 1.73638, 4.37334, 0 , , 2.13331, 0.296368, 0.943995, 0.0953432, 0, 0, 2.0453, 5.15142, 0
0.9 , ,1.19069, -0.0224942, -0.700858, -0.40137, 0, 0, 1.82384, 4.37334, 0 , , 2.15219, 0.298275, 0.943995, 0.0953432, 0, 0, 2.14833, 5.15142, 0
0.92 , ,1.17667, -0.0305216, -0.700858, -0.40137, 0, 0, 1.91131, 4.37334, 0 , , 2.17107, 0.300182, 0.943995, 0.0953432, 0, 0, 2.25136, 5.15142, 0
0.94 , ,1.16266, -0.038549, -0.700858, -0.40137, 0, 0, 1.99878, 4.37334, 0 , , 2.18995, 0.302089, 0.943995, 0.0953432, 0, 0, 2.35439, 5.15142, 0
0.96 , ,1.14864, -0.0465764, -0.700858, -0.40137, 0, 0, 2.08624, 4.37334, 0 , , 2.20883, 0.303996, 0.943995, 0.0953432, 0, 0, 2.45741, 5.15142, 0
0.98 , ,1.13462, -0.0546038, -0.700858, -0.40137, 0, 0, 2.17371, 4.37334, 0 , , 2.22771, 0.305902, 0.943995, 0.0953432, 0, 0, 2.56044, 5.15142, 0
1 , ,1.1206, -0.0626312, -0.700858, -0.40137, 0, 0, 2.26118, 4.37334, 0 , , 2.24659, 0.307809, 0.943995, 0.0953432, 0, 0, 2.66347, 5.15142, 0
