 , , OBJECT 1, , , , , , , OBJECT 2,,,,,,,,,,,,,,,,
t, , x1, y1, vx1, vy1, ax1, ay1, , x2, y2, vx2, vy2, ax2, ay2,,,,,,,,,,,
0.056, ,0.37404,-0.676778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.057, ,0.37804,-0.674578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.058, ,0.38204,-0.672378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.059, ,0.38604,-0.670178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.06, ,0.39004,-0.667978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.061, ,0.39404,-0.665778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.062, ,0.39804,-0.663578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.063, ,0.40204,-0.661378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.064, ,0.40604,-0.659178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.065, ,0.41004,-0.656978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.066, ,0.41404,-0.654778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.067, ,0.41804,-0.652578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.068, ,0.42204,-0.650378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.069, ,0.42604,-0.648178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.07, ,0.43004,-0.645978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.071, ,0.43404,-0.643778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.072, ,0.43804,-0.641578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.073, ,0.44204,-0.639378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.074, ,0.44604,-0.637178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.075, ,0.45004,-0.634978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.076, ,0.45404,-0.632778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.077, ,0.45804,-0.630578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.078, ,0.46204,-0.628378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.079, ,0.46604,-0.626178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.08, ,0.47004,-0.623978,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.081, ,0.47404,-0.621778,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.082, ,0.47804,-0.619578,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.083, ,0.48204,-0.617378,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.084, ,0.48604,-0.615178,4,2.2,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
