 , , OBJECT 1, , , , , , , OBJECT 2,,,,,,,,,,,,,,,,
t, , x1, y1, vx1, vy1, ax1, ay1, , x2, y2, vx2, vy2, ax2, ay2,,,,,,,,,,,
0, ,1.00001,3.00E-06,1,0.3,0,0, ,1.99999,0.499995,-0.5,-0.5,0,0,,,,,,,,,,,
0.001, ,1.00101,0.000303,1,0.3,0,0, ,1.99949,0.499495,-0.5,-0.5,0,0,,,,,,,,,,,
0.002, ,1.00201,0.000603,1,0.3,0,0, ,1.99899,0.498995,-0.5,-0.5,0,0,,,,Initial Conditions:,,,,,,,
0.003, ,1.00301,0.000903,1,0.3,0,0, ,1.99849,0.498495,-0.5,-0.5,0,0,,,,Object,m,r,k,x,y,vx,vy
0.004, ,1.00401,0.001203,1,0.3,0,0, ,1.99799,0.497995,-0.5,-0.5,0,0,,,,1,1,0.15,1302,1,0,1,0.3
0.005, ,1.00501,0.001503,1,0.3,0,0, ,1.99749,0.497495,-0.5,-0.5,0,0,,,,2,1,0.15,1302,2,0.5,-0.5,-0.5
0.006, ,1.00601,0.001803,1,0.3,0,0, ,1.99699,0.496995,-0.5,-0.5,0,0,,,,,,,,,,,
0.007, ,1.00701,0.002103,1,0.3,0,0, ,1.99649,0.496495,-0.5,-0.5,0,0,,,,,,,,,,,
0.008, ,1.00801,0.002403,1,0.3,0,0, ,1.99599,0.495995,-0.5,-0.5,0,0,,,,,,,,,,,
0.009, ,1.00901,0.002703,1,0.3,0,0, ,1.99549,0.495495,-0.5,-0.5,0,0,,,,,,,,,,,
0.01, ,1.01001,0.003003,1,0.3,0,0, ,1.99499,0.494995,-0.5,-0.5,0,0,,,,,,,,,,,
0.011, ,1.01101,0.003303,1,0.3,0,0, ,1.99449,0.494495,-0.5,-0.5,0,0,,,,,,,,,,,
0.012, ,1.01201,0.003603,1,0.3,0,0, ,1.99399,0.493995,-0.5,-0.5,0,0,,,,,,,,,,,
0.013, ,1.01301,0.003903,1,0.3,0,0, ,1.99349,0.493495,-0.5,-0.5,0,0,,,,,,,,,,,
0.014, ,1.01401,0.004203,1,0.3,0,0, ,1.99299,0.492995,-0.5,-0.5,0,0,,,,,,,,,,,
0.015, ,1.01501,0.004503,1,0.3,0,0, ,1.99249,0.492495,-0.5,-0.5,0,0,,,,,,,,,,,
0.016, ,1.01601,0.004803,1,0.3,0,0, ,1.99199,0.491995,-0.5,-0.5,0,0,,,,,,,,,,,
0.017, ,1.01701,0.005103,1,0.3,0,0, ,1.99149,0.491495,-0.5,-0.5,0,0,,,,,,,,,,,
0.018, ,1.01801,0.005403,1,0.3,0,0, ,1.99099,0.490995,-0.5,-0.5,0,0,,,,,,,,,,,
0.019, ,1.01901,0.005703,1,0.3,0,0, ,1.99049,0.490495,-0.5,-0.5,0,0,,,,,,,,,,,
0.02, ,1.02001,0.006003,1,0.3,0,0, ,1.98999,0.489995,-0.5,-0.5,0,0,,,,,,,,,,,
0.021, ,1.02101,0.006303,1,0.3,0,0, ,1.98949,0.489495,-0.5,-0.5,0,0,,,,,,,,,,,
0.022, ,1.02201,0.006603,1,0.3,0,0, ,1.98899,0.488995,-0.5,-0.5,0,0,,,,,,,,,,,
0.023, ,1.02301,0.006903,1,0.3,0,0, ,1.98849,0.488495,-0.5,-0.5,0,0,,,,,,,,,,,
0.024, ,1.02401,0.007203,1,0.3,0,0, ,1.98799,0.487995,-0.5,-0.5,0,0,,,,,,,,,,,
0.025, ,1.02501,0.007503,1,0.3,0,0, ,1.98749,0.487495,-0.5,-0.5,0,0,,,,,,,,,,,
0.026, ,1.02601,0.007803,1,0.3,0,0, ,1.98699,0.486995,-0.5,-0.5,0,0,,,,,,,,,,,
0.027, ,1.02701,0.008103,1,0.3,0,0, ,1.98649,0.486495,-0.5,-0.5,0,0,,,,,,,,,,,
0.028, ,1.02801,0.008403,1,0.3,0,0, ,1.98599,0.485995,-0.5,-0.5,0,0,,,,,,,,,,,
0.029, ,1.02901,0.008703,1,0.3,0,0, ,1.98549,0.485495,-0.5,-0.5,0,0,,,,,,,,,,,
0.03, ,1.03001,0.009003,1,0.3,0,0, ,1.98499,0.484995,-0.5,-0.5,0,0,,,,,,,,,,,
0.031, ,1.03101,0.009303,1,0.3,0,0, ,1.98449,0.484495,-0.5,-0.5,0,0,,,,,,,,,,,
0.032, ,1.03201,0.009603,1,0.3,0,0, ,1.98399,0.483995,-0.5,-0.5,0,0,,,,,,,,,,,
0.033, ,1.03301,0.009903,1,0.3,0,0, ,1.98349,0.483495,-0.5,-0.5,0,0,,,,,,,,,,,
0.034, ,1.03401,0.010203,1,0.3,0,0, ,1.98299,0.482995,-0.5,-0.5,0,0,,,,,,,,,,,
0.035, ,1.03501,0.010503,1,0.3,0,0, ,1.98249,0.482495,-0.5,-0.5,0,0,,,,,,,,,,,
0.036, ,1.03601,0.010803,1,0.3,0,0, ,1.98199,0.481995,-0.5,-0.5,0,0,,,,,,,,,,,
0.037, ,1.03701,0.011103,1,0.3,0,0, ,1.98149,0.481495,-0.5,-0.5,0,0,,,,,,,,,,,
0.038, ,1.03801,0.011403,1,0.3,0,0, ,1.98099,0.480995,-0.5,-0.5,0,0,,,,,,,,,,,
0.039, ,1.03901,0.011703,1,0.3,0,0, ,1.98049,0.480495,-0.5,-0.5,0,0,,,,,,,,,,,
0.04, ,1.04001,0.012003,1,0.3,0,0, ,1.97999,0.479995,-0.5,-0.5,0,0,,,,,,,,,,,
0.041, ,1.04101,0.012303,1,0.3,0,0, ,1.97949,0.479495,-0.5,-0.5,0,0,,,,,,,,,,,
0.042, ,1.04201,0.012603,1,0.3,0,0, ,1.97899,0.478995,-0.5,-0.5,0,0,,,,,,,,,,,
0.043, ,1.04301,0.012903,1,0.3,0,0, ,1.97849,0.478495,-0.5,-0.5,0,0,,,,,,,,,,,
0.044, ,1.04401,0.013203,1,0.3,0,0, ,1.97799,0.477995,-0.5,-0.5,0,0,,,,,,,,,,,
0.045, ,1.04501,0.013503,1,0.3,0,0, ,1.97749,0.477495,-0.5,-0.5,0,0,,,,,,,,,,,
0.046, ,1.04601,0.013803,1,0.3,0,0, ,1.97699,0.476995,-0.5,-0.5,0,0,,,,,,,,,,,
0.047, ,1.04701,0.014103,1,0.3,0,0, ,1.97649,0.476495,-0.5,-0.5,0,0,,,,,,,,,,,
0.048, ,1.04801,0.014403,1,0.3,0,0, ,1.97599,0.475995,-0.5,-0.5,0,0,,,,,,,,,,,
0.049, ,1.04901,0.014703,1,0.3,0,0, ,1.97549,0.475495,-0.5,-0.5,0,0,,,,,,,,,,,
0.05, ,1.05001,0.015003,1,0.3,0,0, ,1.97499,0.474995,-0.5,-0.5,0,0,,,,,,,,,,,
0.051, ,1.05101,0.015303,1,0.3,0,0, ,1.97449,0.474495,-0.5,-0.5,0,0,,,,,,,,,,,
0.052, ,1.05201,0.015603,1,0.3,0,0, ,1.97399,0.473995,-0.5,-0.5,0,0,,,,,,,,,,,
0.053, ,1.05301,0.015903,1,0.3,0,0, ,1.97349,0.473495,-0.5,-0.5,0,0,,,,,,,,,,,
0.054, ,1.05401,0.016203,1,0.3,0,0, ,1.97299,0.472995,-0.5,-0.5,0,0,,,,,,,,,,,
0.055, ,1.05501,0.016503,1,0.3,0,0, ,1.97249,0.472495,-0.5,-0.5,0,0,,,,,,,,,,,
0.056, ,1.05601,0.016803,1,0.3,0,0, ,1.97199,0.471995,-0.5,-0.5,0,0,,,,,,,,,,,
0.057, ,1.05701,0.017103,1,0.3,0,0, ,1.97149,0.471495,-0.5,-0.5,0,0,,,,,,,,,,,
0.058, ,1.05801,0.017403,1,0.3,0,0, ,1.97099,0.470995,-0.5,-0.5,0,0,,,,,,,,,,,
0.059, ,1.05901,0.017703,1,0.3,0,0, ,1.97049,0.470495,-0.5,-0.5,0,0,,,,,,,,,,,
0.06, ,1.06001,0.018003,1,0.3,0,0, ,1.96999,0.469995,-0.5,-0.5,0,0,,,,,,,,,,,
0.061, ,1.06101,0.018303,1,0.3,0,0, ,1.96949,0.469495,-0.5,-0.5,0,0,,,,,,,,,,,
0.062, ,1.06201,0.018603,1,0.3,0,0, ,1.96899,0.468995,-0.5,-0.5,0,0,,,,,,,,,,,
0.063, ,1.06301,0.018903,1,0.3,0,0, ,1.96849,0.468495,-0.5,-0.5,0,0,,,,,,,,,,,
0.064, ,1.06401,0.019203,1,0.3,0,0, ,1.96799,0.467995,-0.5,-0.5,0,0,,,,,,,,,,,
0.065, ,1.06501,0.019503,1,0.3,0,0, ,1.96749,0.467495,-0.5,-0.5,0,0,,,,,,,,,,,
0.066, ,1.06601,0.019803,1,0.3,0,0, ,1.96699,0.466995,-0.5,-0.5,0,0,,,,,,,,,,,
0.067, ,1.06701,0.020103,1,0.3,0,0, ,1.96649,0.466495,-0.5,-0.5,0,0,,,,,,,,,,,
0.068, ,1.06801,0.020403,1,0.3,0,0, ,1.96599,0.465995,-0.5,-0.5,0,0,,,,,,,,,,,
0.069, ,1.06901,0.020703,1,0.3,0,0, ,1.96549,0.465495,-0.5,-0.5,0,0,,,,,,,,,,,
0.07, ,1.07001,0.021003,1,0.3,0,0, ,1.96499,0.464995,-0.5,-0.5,0,0,,,,,,,,,,,
0.071, ,1.07101,0.021303,1,0.3,0,0, ,1.96449,0.464495,-0.5,-0.5,0,0,,,,,,,,,,,
0.072, ,1.07201,0.021603,1,0.3,0,0, ,1.96399,0.463995,-0.5,-0.5,0,0,,,,,,,,,,,
0.073, ,1.07301,0.021903,1,0.3,0,0, ,1.96349,0.463495,-0.5,-0.5,0,0,,,,,,,,,,,
0.074, ,1.07401,0.022203,1,0.3,0,0, ,1.96299,0.462995,-0.5,-0.5,0,0,,,,,,,,,,,
0.075, ,1.07501,0.022503,1,0.3,0,0, ,1.96249,0.462495,-0.5,-0.5,0,0,,,,,,,,,,,
0.076, ,1.07601,0.022803,1,0.3,0,0, ,1.96199,0.461995,-0.5,-0.5,0,0,,,,,,,,,,,
0.077, ,1.07701,0.023103,1,0.3,0,0, ,1.96149,0.461495,-0.5,-0.5,0,0,,,,,,,,,,,
0.078, ,1.07801,0.023403,1,0.3,0,0, ,1.96099,0.460995,-0.5,-0.5,0,0,,,,,,,,,,,
0.079, ,1.07901,0.023703,1,0.3,0,0, ,1.96049,0.460495,-0.5,-0.5,0,0,,,,,,,,,,,
0.08, ,1.08001,0.024003,1,0.3,0,0, ,1.95999,0.459995,-0.5,-0.5,0,0,,,,,,,,,,,
