 , , OBJECT 1, , , , , , , OBJECT 2,,,,,,,,,,,,,,,,
t, , x1, y1, vx1, vy1, ax1, ay1, , x2, y2, vx2, vy2, ax2, ay2,,,,,,,,,,,
0, ,3.14E-05,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.001, ,0.0031714,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.002, ,0.0063114,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,Initial Conditions:,,,,,,,
0.003, ,0.0094514,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,Object,m,r,k,x,y,vx,vy
0.004, ,0.0125914,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,1,6,0.03052,1302,0,0,3.14,0
0.005, ,0.0157314,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,2,1,0.03052,1302,1.5,0,0,0
0.006, ,0.0188714,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.007, ,0.0220114,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.008, ,0.0251514,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.009, ,0.0282914,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.01, ,0.0314314,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.011, ,0.0345714,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.012, ,0.0377114,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.013, ,0.0408514,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.014, ,0.0439914,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.015, ,0.0471314,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.016, ,0.0502714,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.017, ,0.0534114,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.018, ,0.0565514,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.019, ,0.0596914,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.02, ,0.0628314,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.021, ,0.0659714,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.022, ,0.0691114,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.023, ,0.0722514,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.024, ,0.0753914,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.025, ,0.0785314,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.026, ,0.0816714,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.027, ,0.0848114,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.028, ,0.0879514,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.029, ,0.0910914,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.03, ,0.0942314,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.031, ,0.0973714,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.032, ,0.100511,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.033, ,0.103651,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.034, ,0.106791,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.035, ,0.109931,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.036, ,0.113071,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.037, ,0.116211,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.038, ,0.119351,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.039, ,0.122491,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.04, ,0.125631,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.041, ,0.128771,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.042, ,0.131911,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.043, ,0.135051,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.044, ,0.138191,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.045, ,0.141331,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.046, ,0.144471,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.047, ,0.147611,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.048, ,0.150751,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.049, ,0.153891,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.05, ,0.157031,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.051, ,0.160171,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.052, ,0.163311,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.053, ,0.166451,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.054, ,0.169591,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.055, ,0.172731,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.056, ,0.175871,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.057, ,0.179011,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.058, ,0.182151,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
0.059, ,0.185291,0,3.14,0,0,0, ,1.5,0,0,0,0,0,,,,,,,,,,,
